GO.Term.Accession,HGNC.symbol
GO:0005515,IGHV1OR15-1
GO:0005576,IGHV4OR15-8
GO:0005515,IGHV4OR15-8
GO:0003676,ZNF385C
GO:0008270,ZNF385C
GO:0000902,HSPA13
GO:0043231,HSPA13
GO:0005783,HSPA13
GO:0005524,HSPA13
,HSPA13
,GOLGA6L1
GO:0039534,DHX58
GO:0045088,DHX58
GO:0019048,DHX58
GO:1900246,DHX58
GO:1900245,DHX58
GO:0039536,DHX58
GO:0032481,DHX58
GO:0051607,DHX58
GO:0004386,DHX58
GO:0045824,DHX58
GO:0032480,DHX58
GO:0016787,DHX58
GO:0009615,DHX58
GO:0008026,DHX58
GO:0003727,DHX58
GO:0003725,DHX58
GO:0003677,DHX58
GO:0016817,DHX58
GO:0003676,DHX58
GO:0045087,DHX58
GO:0005737,DHX58
GO:0005524,DHX58
GO:0008270,DHX58
GO:0005515,DHX58
GO:0005515,COPS2
GO:0050869,SAMSN1
GO:0002820,SAMSN1
GO:0050732,SAMSN1
GO:0001784,SAMSN1
GO:0001726,SAMSN1
GO:0005737,SAMSN1
GO:0005515,SAMSN1
GO:0005634,SAMSN1
GO:0005829,SAMSN1
GO:0010484,KAT2A
GO:0016578,KAT2A
GO:0033276,KAT2A
GO:0044154,KAT2A
GO:0043997,KAT2A
GO:0043966,KAT2A
GO:0019048,KAT2A
GO:0022037,KAT2A
GO:0016573,KAT2A
GO:0031647,KAT2A
GO:0030914,KAT2A
GO:0021537,KAT2A
GO:0005671,KAT2A
GO:0030901,KAT2A
GO:0004402,KAT2A
GO:0006338,KAT2A
GO:0072686,KAT2A
GO:0003713,KAT2A
GO:0008080,KAT2A
GO:0001843,KAT2A
GO:0042826,KAT2A
GO:0001756,KAT2A
GO:0001701,KAT2A
GO:0006357,KAT2A
GO:0003682,KAT2A
GO:0006355,KAT2A
GO:0035264,KAT2A
GO:0006366,KAT2A
GO:0042981,KAT2A
GO:0008283,KAT2A
GO:0005515,KAT2A
GO:0005634,KAT2A
GO:0006950,HSPB9
GO:0005737,HSPB9
GO:0005515,HSPB9
GO:0005634,HSPB9
GO:0010388,COPS2
GO:0030182,COPS2
GO:0007165,COPS2
GO:0035914,COPS2
GO:0008180,COPS2
GO:0004871,COPS2
GO:0006366,COPS2
GO:0005737,COPS2
GO:0008283,COPS2
GO:0003714,COPS2
GO:0000122,COPS2
GO:0005634,COPS2
GO:0045892,COPS2
GO:0006184,RAB5C
GO:0030100,RAB5C
GO:0019003,RAB5C
